School Name,Publication Name,Race of EICs,Publication Homepage Link
Anne Arundel Community College,Campus Current,Two or more races,https://www.thecampuscurrent.com
Appalachian State University,The Appalachian,White,https://theappalachianonline.com
Ball State University,The Ball State Daily News,White,https://www.ballstatedailynews.com/
Bethel University,The Clarion,White,https://bethelclarion.com
Boston College,The Heights,Did not respond,https://www.bcheights.com
Brigham Young University-Provo,The Daily Universe,Two or more races,https://universe.byu.edu
Butler University,The Butler Collegian,White,https://thebutlercollegian.com
California Polytechnic State University-San Luis Obispo,Mustang News,Asian,https://mustangnews.net
California State University-Chico,The Orion,White,https://theorion.com
California State University-Northridge,Daily Sundial,White,https://sundial.csun.edu
Central Michigan University,Central Michigan Life,White,https://www.cm-life.com
Central Washington University,The Observer,White,https://cwuobserver.com
Chapman University,The Panther,White,https://www.thepanthernewspaper.org
Colorado State University-Fort Collins,The Rocky Mountain Collegian,Did not respond,https://collegian.com
Columbia College Chicago,The Columbia Chronicle,White,https://columbiachronicle.com
Columbia University in the City of New York,Columbia Daily Spectator,White,https://www.columbiaspectator.com
Columbus State University,The Uproar,White,https://uproarcsu.com
Contra Costa College,The Advocate,Did not respond,https://cccadvocate.com
Eastfield College,The Et Cetera,White,https://eastfieldnews.com
Elon University,The Pendulum,Black,https://www.elonnewsnetwork.com/staff/the-pendulum
Emory University,The Emory Wheel,Two or more races,https://emorywheel.com
Georgia State University,The Signal,Two or more races,https://georgiastatesignal.com
Gonzaga University,The Gonzaga Bulletin,White,https://www.gonzagabulletin.com
Grambling State University,The Gramblinite,Black,http://www.thegramblinite.com
Humboldt State University,El Leñador,"Latinx, Latinx, Latinx",https://www.ellenadornews.com
Indiana University-Bloomington,Indiana Daily Student,"White, White",https://www.idsnews.com
Ithaca College,The Ithacan,Latinx,https://theithacan.org
Kent State University at Kent,Kent Stater,Two or more races,https://www.kentwired.com
Knox College,The Knox Student,"Latinx, White",https://www.theknoxstudent.org
Lehigh University,The Brown and White,White,https://thebrownandwhite.com
Los Angeles Pierce College,The Roundup,Asian,https://theroundupnews.com
Loyola University Chicago,Loyola Phoenix,Did not respond,http://loyolaphoenix.com
Loyola University New Orleans,The Maroon,White,https://loyolamaroon.com
Miami Dade College,The Reporter,Did not respond,https://mdcthereporter.com
Michigan State University,The State News,Did not respond,https://statenews.com
Mississippi State University,The Reflector,White,http://www.reflector-online.com
Mount Royal University,The Calgary Journal,"White, Two or more races",https://calgaryjournal.ca
Northwestern University,The Daily Northwestern,Asian,https://dailynorthwestern.com
Oregon State University,The Daily Barometer,Two or more races,http://www.orangemedianetwork.com/daily_barometer/
Pepperdine University,Pepperdine Graphic Media,White,https://pepperdine-graphic.com
Point Park University,The Globe,White,https://ppuglobe.com
Rice University,The Rice Thresher,"Asian, Asian",https://www.ricethresher.org
San Diego State University,The Daily Aztec,White,https://thedailyaztec.com
San Jose State University,Spartan Daily,Did not respond,https://sjsunews.com/publication/spartan-daily
Santa Ana College,el Don,"Latinx, White",https://eldonnews.org
Santa Monica College,The Corsair,White,https://www.thecorsaironline.com
School of the Art Institute of Chicago,F Newsmagazine,White,https://fnewsmagazine.com
Southeast Missouri State University,The Arrow,Two or more races,https://www.southeastarrow.com
Southwestern College,The Sun,Latinx,https://www.theswcsun.com
Syracuse University,The Daily Orange,White,https://dailyorange.com
Tarrant County College District,The Collegian,Black,https://collegian.tccd.edu
Temple University,The Temple News,Did not respond,https://temple-news.com
Texas State University,The University Star,Black,https://www.universitystar.com
The George Washington University,The GW Hatchet,White,https://www.gwhatchet.com
The University of Alabama,The Crimson White,White,https://cw.ua.edu
Trinity University,Trinitonian,Latinx,https://trinitonian.com
University of California-Berkeley,The Daily Californian,Two or more races,https://www.dailycal.org
"University of California, Los Angeles",Daily Bruin,Two or more races,https://dailybruin.com
University of Georgia,The Red & Black,Asian,https://www.redandblack.com
University of Idaho,The Argonaut,White,https://www.uiargonaut.com
University of Iowa,The Daily Iowan,White,https://dailyiowan.com
University of Kentucky,Kentucky Kernel,Did not respond,http://www.kykernel.com
University of Maryland-College Park,The Diamondback,White,https://dbknews.com
University of Michigan-Ann Arbor,The Michigan Daily,Asian,https://www.michigandaily.com
University of Minnesota-Twin Cities,Minnesota Daily,White,https://mndaily.com
University of Mississippi,The Daily Mississippian,White,https://thedmonline.com
University of Oklahoma-Norman Campus,The OU Daily,White,https://www.oudaily.com
University of Southern California,The Daily Trojan,Asian,https://dailytrojan.com
University of Texas at Arlington,The Shorthorn,Two or more races,https://www.theshorthorn.com
University of Texas at Austin,The Daily Texan,White,https://thedailytexan.com
Vassar College	,Miscellany News,White,https://miscellanynews.org
Virginia Commonwealth University,The Commonwealth Times,White,https://commonwealthtimes.org
Weber State University,The Signpost,White,http://signpost.mywebermedia.com
Western Kentucky University,College Heights Herald,White,https://wkuherald.com
Wichita State University,The Sunflower,White,https://thesunflower.com
